Municipio;¡rea;AÒo
TUNJA;0,239188;2015
ALMEIDA;0,060992;2015
ALMEIDA;0,121642;2015
ALMEIDA;0,060992;2015
ALMEIDA;0,31669;2015
ALMEIDA;1,364021;2015
ALMEIDA;1,165472;2015
ALMEIDA;0,089081;2015
ALMEIDA;0,057046;2015
ALMEIDA;0,060993;2015
ALMEIDA;0,060993;2015
ALMEIDA;2,626175;2015
AQUITANIA;0,559841;2015
AQUITANIA;0,060957;2015
AQUITANIA;0,1216;2015
AQUITANIA;0,060962;2015
AQUITANIA;0,206341;2015
AQUITANIA;0,198463;2015
AQUITANIA;0,120219;2015
ARCABUCO;0,672744;2015
ARCABUCO;0,060915;2015
BEL…N;0,121481;2015
BOYAC¡;0,121558;2015
BRICE—O;0,372026;2015
BRICE—O;0,433124;2015
BRICE—O;0,178355;2015
BUENAVISTA;0,120114;2015
BUENAVISTA;0,183691;2015
BUENAVISTA;0,178403;2015
BUENAVISTA;0,088995;2015
BUENAVISTA;0,201121;2015
BUENAVISTA;0,201121;2015
BUENAVISTA;0,120119;2015
BUENAVISTA;0,178424;2015
BUSBANZ¡;0,060925;2015
BUSBANZ¡;0,533917;2015
BUSBANZ¡;1,381655;2015
BUSBANZ¡;0,183713;2015
CALDAS;0,121503;2015
CALDAS;0,060926;2015
CALDAS;0,060931;2015
CALDAS;0,273043;2015
CALDAS;0,060932;2015
CALDAS;0,120138;2015
CAMPOHERMOSO;0,120254;2015
CAMPOHERMOSO;0,494072;2015
CAMPOHERMOSO;0,057056;2015
CAMPOHERMOSO;0,061004;2015
CAMPOHERMOSO;0,061004;2015
CAMPOHERMOSO;0,120255;2015
CAMPOHERMOSO;0,061004;2015
CHIQUINQUIR¡;0,120095;2015
CHIQUINQUIR¡;0,194974;2015
CHIQUINQUIR¡;0,183663;2015
CHIQUINQUIR¡;0,183664;2015
CHIQUINQUIR¡;0,45462;2015
CHIQUINQUIR¡;0,060925;2015
CHIQUINQUIR¡;0,206146;2015
CHIQUINQUIR¡;0,121503;2015
CHIQUINQUIR¡;0,060926;2015
CHIQUINQUIR¡;0,060926;2015
CHIQUINQUIR¡;0,1201;2015
CHIQUINQUIR¡;0,121503;2015
CHIQUINQUIR¡;0,060927;2015
CHIQUINQUIR¡;0,121507;2015
CHIQUINQUIR¡;0,208841;2015
CHIQUINQUIR¡;0,120108;2015
CHIQUINQUIR¡;0,351458;2015
CHITA;0,06089;2015
CHITA;0,51661;2015
CHITA;0,060891;2015
CHITA;0,060891;2015
CHITA;0,533958;2015
CHITA;0,070673;2015
CHITA;0,000597;2015
CHITA;0,120151;2015
CHITA;0,121533;2015
CHITA;0,060904;2015
CHITA;0,060905;2015
CHITA;0,391813;2015
CHITA;0,060905;2015
CHITA;1,437028;2015
CHITA;0,060905;2015
CHITA;0,178366;2015
CHITA;0,239146;2015
CHITA;0,210903;2015
CHITARAQUE;0,060885;2015
CHITARAQUE;0,060885;2015
CHITARAQUE;0,060888;2015
CHITARAQUE;0,121435;2015
CHITARAQUE;0,060888;2015
CHITARAQUE;0,121436;2015
CHITARAQUE;0,120052;2015
CHITARAQUE;0,121435;2015
CHITARAQUE;0,121435;2015
CHITARAQUE;0,121429;2015
CHITARAQUE;0,060889;2015
CHITARAQUE;0,286611;2015
CHITARAQUE;0,121438;2015
CHITARAQUE;0,121437;2015
CHITARAQUE;0,120056;2015
CHITARAQUE;0,120057;2015
CHITARAQUE;0,597693;2015
CHITARAQUE;0,060891;2015
CHITARAQUE;0,210672;2015
CHITARAQUE;0,121441;2015
CHITARAQUE;0,060891;2015
CHITARAQUE;0,743187;2015
CHITARAQUE;0,060893;2015
CHITARAQUE;0,060893;2015
CHITARAQUE;0,121439;2015
CHITARAQUE;0,120063;2015
CHITARAQUE;0,060895;2015
CHITARAQUE;0,060878;2015
CHITARAQUE;0,121449;2015
CHITARAQUE;0,060897;2015
CHITARAQUE;0,120055;2015
CI…NEGA;0,120163;2015
CI…NEGA;0,060957;2015
CI…NEGA;0,120164;2015
C”MBITA;0,84766;2015
COPER;0,195015;2015
COPER;0,120123;2015
COPER;0,12154;2015
COPER;0,060946;2015
COPER;0,239189;2015
COPER;1,691571;2015
COPER;0,060947;2015
CORRALES;0,206164;2015
CUBAR¡;0,06079;2015
CUBAR¡;0,121311;2015
CUBAR¡;0,119946;2015
CUBAR¡;0,060799;2015
CUBAR¡;0,581953;2015
CUBAR¡;0,08885;2015
CUBAR¡;0,200837;2015
CUBAR¡;0,119931;2015
CUBAR¡;0,119941;2015
CUBAR¡;0,060801;2015
CUBAR¡;0,239617;2015
CUBAR¡;0,359212;2015
CUBAR¡;0,119951;2015
CUBAR¡;0,49348;2015
CUBAR¡;0,060802;2015
CUBAR¡;3,141975;2015
CUBAR¡;0,238678;2015
CUBAR¡;0,533063;2015
CUBAR¡;0,238679;2015
CUBAR¡;0,121327;2015
CUBAR¡;0,511298;2015
CUBAR¡;0,060799;2015
CUBAR¡;7,506596;2015
CUBAR¡;0,11994;2015
CUBAR¡;0,333829;2015
CUBAR¡;0,603769;2015
CUBAR¡;0,26714;2015
CUBAR¡;0,121344;2015
CUBAR¡;0,060795;2015
CUBAR¡;0,205877;2015
CUBAR¡;0,060806;2015
CUBAR¡;0,121335;2015
CUBAR¡;0,284293;2015
CUBAR¡;0,183383;2015
CUBAR¡;0,359241;2015
CUBAR¡;0,238697;2015
CUBAR¡;0,060802;2015
CUBAR¡;0,121344;2015
CUBAR¡;0,060809;2015
CUBAR¡;0,178053;2015
CUBAR¡;0,119966;2015
CUBAR¡;0,060804;2015
CUBAR¡;0,528014;2015
CUBAR¡;0,121347;2015
CUBAR¡;0,353496;2015
CUBAR¡;0,060808;2015
CUBAR¡;0,060808;2015
CUBAR¡;1,764215;2015
CUBAR¡;0,121338;2015
CUBAR¡;5,647955;2015
CUBAR¡;0,511333;2015
CUBAR¡;4,348804;2015
CUBAR¡;2,58522;2015
CUBAR¡;0,238701;2015
CUBAR¡;0,060805;2015
CUBAR¡;0,060806;2015
CUBAR¡;0,356609;2015
CUBAR¡;0,060796;2015
CUBAR¡;0,088846;2015
CUBAR¡;0,194682;2015
CUBAR¡;0,121334;2015
CUBAR¡;0,274438;2015
CUBAR¡;0,056902;2015
CUBAR¡;0,060804;2015
CUBAR¡;0,17771;2015
CUBAR¡;0,060804;2015
CUBAR¡;0,471515;2015
CUBAR¡;0,060804;2015
CUBAR¡;0,121339;2015
CUBAR¡;0,339152;2015
CUBAR¡;0,7633;2015
CUBAR¡;0,060805;2015
CUBAR¡;0,060799;2015
CUBAR¡;0,472162;2015
CUBAR¡;0,060811;2015
CUBAR¡;0,060811;2015
CUBAR¡;0,238705;2015
CUBAR¡;3,399131;2015
CUBAR¡;0,208532;2015
CUBAR¡;1,446235;2015
CUBAR¡;0,38308;2015
CUBAR¡;1,097972;2015
CUBAR¡;0,713182;2015
CUBAR¡;0,119968;2015
CUBAR¡;0,205879;2015
CUBAR¡;0,119968;2015
CUBAR¡;0,060806;2015
CUBAR¡;0,11996;2015
CUBAR¡;0,693695;2015
CUBAR¡;0,121352;2015
CUBAR¡;0,183409;2015
CUBAR¡;0,119969;2015
CUBAR¡;0,060811;2015
CUBAR¡;0,205881;2015
CUBAR¡;0,178065;2015
CUBAR¡;0,284294;2015
CUBAR¡;0,060809;2015
CUBAR¡;0,391209;2015
CUBAR¡;0,121347;2015
CUBAR¡;0,121354;2015
CUBAR¡;0,178085;2015
CUBAR¡;0,060808;2015
CUBAR¡;0,121347;2015
CUBAR¡;0,268411;2015
CUBAR¡;0,119981;2015
CUBAR¡;0,00436;2015
CUBAR¡;0,060814;2015
CUBAR¡;0,314673;2015
CUBAR¡;0,119965;2015
CUBAR¡;0,208568;2015
CUBAR¡;0,343748;2015
CUBAR¡;0,657694;2015
CUBAR¡;0,121361;2015
CUBAR¡;0,178091;2015
CUBAR¡;0,238748;2015
CUBAR¡;0,121347;2015
CUBAR¡;0,178086;2015
CUBAR¡;0,060818;2015
CUBAR¡;0,056936;2015
CUBAR¡;0,060818;2015
CUBAR¡;0,119969;2015
CUBAR¡;0,455784;2015
CUBAR¡;1,421422;2015
CUBAR¡;0,119971;2015
CUBAR¡;0,060812;2015
CUBAR¡;0,060819;2015
CUBAR¡;0,426776;2015
CUBAR¡;0,208548;2015
CUBAR¡;0,208562;2015
CUBAR¡;0,119972;2015
CUBAR¡;0,060808;2015
CUBAR¡;0,060813;2015
CUBAR¡;0,121365;2015
CUBAR¡;0,533208;2015
CUBAR¡;0,1781;2015
CUBAR¡;0,183414;2015
CUBAR¡;0,12137;2015
CUBAR¡;0,060813;2015
